,saga,books,number,finished
1830,Brian Boru,['Lion of Ireland'],1,Yes
1831,Buchanan-Renard,"['Fire and Ice', 'Mercy', 'Heartbreaker', 'The Ideal Man', 'Sizzle', 'Killjoy', 'Slow Burn', 'Shadow Dance', 'Murder List', 'HotShot']",10,No
1832,Gideon's Cove,"['Catch of the Day', 'Somebody to Love']",2,Yes
1833,The Matilda Saga,"['A Waltz for Matilda', 'To Love a Sunburnt Country']",2,Yes
1834,"Legend, Colorado",['Legend'],1,Yes
1835,Holes,['Small Steps'],1,Yes
1836,Naked Werewolf,"['How to Run with a Naked Werewolf', 'The Art of Seducing a Naked Werewolf']",2,Yes
1837,Fool's Gold,"['Only Yours', 'Finding Perfect', 'Only His', 'Almost Perfect', 'Chasing Perfect', 'Only Mine']",6,Yes
1838,The Iron Seas,"['Riveted', 'The Iron Duke']",2,No
1839,Mass Effect Novels,['Mass Effect: Retribution'],1,Yes
1840,Dante Valentine,"[""The Devil's Right Hand"", 'Saint City Sinners', 'To Hell and Back', 'Working for the Devil', 'Dead Man Rising']",5,Yes
1841,Tales of Terror,"['Tales of Terror from the Black Ship', ""Uncle Montague's Tales of Terror""]",2,No
1842,Time Warp Trio,"[""It's All Greek to Me"", '2095', 'Hey Kid, Want to Buy a Bridge?', 'The Not-So-Jolly Roger']",4,Yes
1843,A Series of Standalone Novels,"['Stuck-Up Suit', 'Dear Bridget, I Want You']",2,No
1844,Millennial Contest,['Bring Me the Head of Prince Charming'],1,No
1845,Arthur Trilogy,"['The Seeing Stone', 'At the Crossing Places', 'King of the Middle March']",3,Yes
1846,Mercedes Thompson Graphic Novels,"['Homecoming', ""Patricia Briggs' Mercy Thompson: Moon Called""]",2,No
1847,Patterson-Cannon Family,"[""Duncan's Bride""]",1,No
1848,Lord Ermenwyr,['The Anvil of the World'],1,No
1849,Radlett and Montdore,"['The Pursuit of Love', 'Love in a Cold Climate']",2,No
1850,Crestview Academy,['Bliss'],1,No
1851,The Saga of the Trillium,['Black Trillium'],1,No
1852,MacKinnon Curse,"['The Deepest Cut', 'The Haunted', 'The Departed']",3,No
1853,Arthur the Son,['Uther'],1,Yes
1854,Parnassus Series,['The Haunted Bookshop'],1,No
1855,Necromancer,"['Hold Me Closer, Necromancer', 'Necromancing the Stone']",2,Yes
1856,Island Shifters,['An Oath of the Blood'],1,Yes
1857,Oversight Trilogy,['The Paradox'],1,No
1858,Black Wolves,['Black Wolves'],1,Yes
1859,The Reawakened Series,['Reawakened'],1,No
1860,Dominion of the Fallen,['The House of Shattered Wings'],1,Yes
1861,Hunter,['Hunter'],1,Yes
1862,The Shadow Campaigns,['The Price of Valour'],1,No
1863,The Dinosaur Lords,['The Dinosaur Lords'],1,No
1864,The Blood of Stars,['Spin the Dawn'],1,Yes
1865,Vampire for Hire,['Moon Dance'],1,No
1866,Thief Errant,['StarCrossed'],1,Yes
1867,Alberich's Tale,"[""Exile's Honor"", ""Exile's Valor""]",2,Yes
1868,Aviary Hall,['Charlotte Sometimes'],1,Yes
1869,Ye niPang Huang umono,"['Deathwish', 'Moonshine', 'Madhouse']",3,No
1870,Dragon Star,"['Stronghold', 'The Dragon Token']",2,Yes
1871,Christiansen Family,"['Take a Chance on Me', 'Always on My Mind', 'When I Fall in Love', 'It Had to Be You', ""You're the One that I Want""]",5,No
1872,The Gothic Saga,"['Bellefleur', 'The Accursed']",2,No
1873,Lyonesse,"['Madouc', 'Lyonesse']",2,No
1874,Kwani,"['She Who Remembers', 'Voice of the Eagle']",2,Yes
1875,Fountain Creek Chronicles,"['Rekindled', 'Revealed', 'Remembered']",3,No
1876,Song of the Silvertongue,['Revelations'],1,Yes
1877,Will Piper,['Library of the Dead'],1,No
1878,The Intern,['The Intern'],1,No
1879,Inherit the Stars,['Inherit the Stars'],1,Yes
1880,The Cloak Society,['The Cloak Society'],1,Yes
1881,Before the Coffee Gets Cold,['Before the Coffee Gets Cold'],1,No
1882,The Secrets of the Pied Piper,"[""The Peddler's Road""]",1,No
1883,The Stand: Graphic Novels,['The Stand: Captain Trips'],1,Yes
1884,Courts of the Feyre,['Sixty-One Nails'],1,No
1885,Fading,['Fading'],1,No
1886,The Kharkanas Trilogy,['Forge of Darkness'],1,No
1887,Alone,['Chasers'],1,No
1888,Balefire,"['A Chalice of Wind', 'A Feather of Stone', 'A Necklace of Water']",3,No
1889,Storybound,['Storybound'],1,No
1890,The Hunt,"['The Prey', 'The Hunt']",2,Yes
1891,The Peri Reed Chronicles,['The Drafter'],1,Yes
1892,Him,['Us'],1,No
1893,Giants,['Inherit the Stars'],1,No
1894,The Locket Trilogy,['The Looking Glass'],1,Yes
1895,Rescues,"['Heartbreaker', 'Diamond Bay']",2,Yes
1896,Lily Dale,"['Awakening', 'Believing', 'Connecting', 'Discovering']",4,No
1897,Zion Chronicles,"['A Daughter of Zion', 'The Gates of Zion', 'The Key to Zion', 'The Return to Zion', 'A Light in Zion']",5,No
1898,Stoker's Dracula,['Dracula the Un-Dead'],1,Yes
1899,Captain Marvel (2012) (Collected Editions),"['Captain Marvel, Volume 1: In Pursuit of Flight']",1,Yes
1900,The Blackthorn Key,"['The Blackthorn Key', 'Mark of the Plague']",2,Yes
1901,Nausicaa of the Valley of the Wind,"['Nausicaa of the Valley of the Wind, Vol. 5', 'Nausicaa of the Valley of the Wind, Vol. 4']",2,No
1902,The Book of Words,"[""The Baker's Boy""]",1,Yes
1903,Glory St. Clair,"['Real Vampires Have Curves', 'Real Vampires Live Large']",2,No
1904,Jon Shannow,"['Wolf in Shadow', 'Bloodstone']",2,Yes
1905,Mara and Dann,['Mara and Dann'],1,No
1906,Gansett Island,"['Maid for Love', 'Gansett After Dark', 'Hoping for Love', 'Fool for Love', 'Ready for Love']",5,Yes
1907,Hot Shots: Men of Fire,"['Hot as Sin', 'Wild Heat']",2,No
1908,The Scarlet Pimpernel (chronological order),"['El Dorado: Further Adventures of the Scarlet Pimpernel', 'The Triumph of the Scarlet Pimpernel', 'The Elusive Pimpernel']",3,No
1909,The Guardians,"['Nicholas St. North and the Battle of the Nightmare King', 'The Sandman and the War of Dreams', 'Toothiana: Queen of the Tooth Fairy Armies', 'Demon Angel']",4,Yes
1910,The Heartbreakers Chronicles,['The Heartbreakers'],1,Yes
1911,The Sellswords,"['Road of the Patriarch', 'Promise of the Witch King', 'Servant of the Shard']",3,Yes
1912,Texas,['Texas Rich'],1,No
1913,The Last Werewolf / Bloodlines Trilogy,['The Last Werewolf'],1,Yes
1914,Born in Blood Mafia Chronicles,['Bound by Honor'],1,Yes
1915,Arcane Ascension,"['Sufficiently Advanced Magic', 'On the Shoulders of Titans']",2,Yes
1916,Fiery Tales,['Undone'],1,No
1917,If You Come Softly,['If You Come Softly'],1,No
1918,The Seer,"[""Don't Die, Dragonfly"", 'Fatal Charm', 'Sword Play', 'Last Dance', 'Witch Ball']",5,No
1919,Brethren Trilogy,"['Requiem: The Fall of the Templars', 'Brethren', 'Crusade']",3,Yes
1920,Replica,"['Amy, Number Seven']",1,No
1921,The Seafare Chronicles,['Who We Are'],1,Yes
1922,The Bourbon Kings,['The Bourbon Kings'],1,No
1923,Vampire Huntress,"['The Bitten', 'The Cursed', 'Minion', 'The Hunted', 'The Forbidden', 'The Damned', 'The Forsaken', 'The Wicked', 'The Darkness', 'The Shadows', 'The Thirteenth']",11,Yes
1924,The Siders,['A Touch Mortal'],1,Yes
1925,"Consuelo, et, La Comtesse de Rudolstadt",['Consuelo'],1,No
1926,Legacy of Tril,['Soulbound'],1,Yes
1927,Bad Kitty,['Bad Kitty'],1,No
1928,Bridge,"['Virtual Light', 'Idoru', ""All Tomorrow's Parties""]",3,No
1929,Fables: The Deluxe Edition,"['Fables: The Deluxe Edition, Book One', 'Fables: The Deluxe Edition, Book Two', 'Fables: The Deluxe Edition, Book Three']",3,Yes
1930,Cassidy Blake,"['Tunnel of Bones', 'City of Ghosts']",2,No
1931,Cheerleader Trilogy,"['I Was a Non-Blonde Cheerleader', 'Brunettes Strike Back', 'A Non-Blonde Cheerleader in Love']",3,No
1932,Born Confused,['Born Confused'],1,No
1933,Wings in the Night,"['Twilight Phantasies', 'Twilight Illusions', ""Angel's Pain""]",3,No
1934,Magic: The Gathering: Artifacts Cycle,"[""The Brothers' War""]",1,No
1935,With This Ring,['Reforming a Rake'],1,Yes
1936,Alex Barnaby,"['Metro Girl', 'Motor Mouth']",2,Yes
1937,Accidentally in Love,['Falling for Her Fiance'],1,No
1938,Beyond the Spiderwick Chronicles,"[""The Nixie's Song"", 'The Wyrm King', 'A Giant Problem']",3,Yes
1939,The Gamblers of Craven's,"['Then Came You', 'Dreaming of You']",2,No
1940,Everworld,"['Search for Senna', 'Gateway to the Gods', 'Realm of the Reaper', 'Mystify the Magician', 'Fear the Fantastic', 'Discover the Destroyer', 'Land of Loss', 'Brave the Betrayal', 'Enter the Enchanted', 'Understand the Unknown', 'Inside the Illusion']",11,Yes
1941,The SYLO Chronicles,['Storm'],1,Yes
1942,Sisi,"['The Accidental Empress', 'Sisi: Empress on Her Own']",2,No
1943,The View from the Mirror,"['The Tower on the Rift', 'A Shadow on the Glass', 'Dark is the Moon', 'The Way Between the Worlds']",4,No
1944,The Ivy Chronicles,['Foreplay'],1,Yes
1945,Nightmares!,['Nightmares!'],1,Yes
1946,Prefect Dreyfus Emergency,['The Prefect'],1,No
1947,Dragonlance: Kang's Regiment,"['The Doom Brigade', 'Draconian Measures']",2,Yes
1948,Night Watch,"['Eternal Flame', ""I'll Be Slaying You""]",2,Yes
1949,The Misadventures of Tallulah Casey,"['Withering Tights', 'The Taming of the Tights']",2,No
1950,Lemonade Mouth,['Lemonade Mouth'],1,No
1951,Moments,['A Moment'],1,No
1952,Sammy Keyes,['Sammy Keyes and the Wild Things'],1,Yes
1953,Star Wars: X-Wing,"['Rogue Squadron', 'Wraith Squadron']",2,Yes
1954,Agents of the Crown,"['How to Marry a Marquis', 'To Catch an Heiress']",2,Yes
1955,The Immortal Empire,"['The Queen Is Dead', 'Long Live the Queen', 'God Save the Queen']",3,Yes
1956,The Way,"['Eon', 'Eternity', 'Legacy']",3,Yes
1957,My Merlin Trilogy,"['My Boyfriend Merlin', 'My Merlin Awakening']",2,Yes
1958,Control,['Control'],1,Yes
1959,Magic Ex Libris,['Libriomancer'],1,Yes
1960,The Songs of the Seraphim,"['Angel Time', 'Of Love and Evil']",2,No
1961,Devil Riders,['His Captive Lady'],1,No
1962,Ethshar,"['The Misenchanted Sword', 'With a Single Spell']",2,Yes
1963,Once Upon a Time,['A Kiss to Remember'],1,No
1964,Summer Boys,['Summer Boys'],1,No
1965,The Outlandish Companions,"['The Outlandish Companion: Companion to Outlander, Dragonfly in Amber, Voyager, and Drums of Autumn']",1,Yes
1966,Beach House,['The Beach House'],1,Yes
1967,World of Solace,['The Mark of the Dragonfly'],1,Yes
1968,Hero,"['Hero', 'The Hero Strikes Back', 'Heroes at Risk', 'Resenting the Hero']",4,Yes
1969,CIA Spies,"['Kill and Tell', ""All the Queen's Men""]",2,Yes
1970,Wherlocke,"[""If He's Wicked""]",1,Yes
1971,Bright Young Things,"['Bright Young Things', 'The Lucky Ones', 'Beautiful Days']",3,No
1972,Rurouni Kenshin,"['Rurouni Kenshin, Volume 01']",1,No
1973,Lineage of Grace,"['Unashamed: Rahab', 'Unspoken: Bathsheba', 'Unshaken: Ruth']",3,Yes
1974,"Cheney Duvall, M.D.","['The Stars for a Light', 'Driven With the Wind', 'Island of the Innocent']",3,No
1975,Carter House Girls,"['Lost in Las Vegas', 'Viva Vermont!', 'New York Debut', 'Stealing Bradford', 'Mixed Bags']",5,Yes
1976,Arkadien,['Arcadia Awakens'],1,Yes
1977,Stones of Power,"['Ghost King', 'Last Sword of Power']",2,Yes
1978,The MacGregors,"['Playing The Odds', 'The MacGregor Brides', 'All The Possibilities']",3,Yes
1979,Medusa Project,"['The Set Up', 'The Rescue']",2,No
1980,Stark Saga,"['Release Me', 'Claim Me', 'Complete Me']",3,Yes
1981,Beaumont,"['My Unexpected Forever', 'Forever My Girl']",2,No
1982,Dempseys,"['Faking It', 'Welcome to Temptation']",2,No
1983,Nature of Desire,"['Ice Queen', 'Branded Sanctuary']",2,No
1984,The Castle In The Attic,['The Castle in the Attic'],1,Yes
1985,The Poland Trilogy,['Push Not the River'],1,Yes
1986,MacLachlan Family & Friends,['The Devil to Pay'],1,Yes
1987,43 Old Cemetery Road,"['Dying to Meet You', 'Over My Dead Body', 'The Phantom of the Post Office']",3,No
1988,The List,['The List'],1,No
1989,Jake,['Jake Undone'],1,Yes
1990,IFICS,['Freak of Nature'],1,No
1991,MacKenzie-Blackthorn,"['Fire and Rain', 'Outlaw', 'Warrior']",3,No
1992,A Need So Beautiful,"['A Need So Beautiful', 'A Want So Wicked']",2,No
1993,The Vampire Journals,"['Betrayed', 'Destined', 'Turned', 'Loved', 'Betrothed']",5,No
1994,Demon Road,['Demon Road'],1,No
1995,The Sin Eater's Daughter,"[""The Sin Eater's Daughter"", 'The Sleeping Prince']",2,Yes
1996,Shadow Police,"['London Falling', 'The Severed Streets']",2,No
1997,At First Sight,"[""Tell Me It's Real"", 'Until You', 'The Queen & the Homo Jock King']",3,Yes
1998,Dead of Night,"['Dead of Night', 'Fall of Night']",2,No
1999,Innocence,"['Masked Innocence', 'Blindfolded Innocence']",2,Yes
2000,The Living Dead,['The Living Dead'],1,No
2001,Eschaton,['Singularity Sky'],1,Yes
2002,Daughters of Caleb Bender,"['Paradise Valley', 'The Captive Heart']",2,Yes
2003,Dark Days,"['Nightwalker', 'Wait for Dusk', 'Pray for Dawn']",3,Yes
2004,The Last Valois,"['Queen Margot, or Marguerite de Valois']",1,Yes
2005,The Cronus Chronicles,"['The Shadow Thieves', 'The Immortal Fire', 'The Siren Song']",3,Yes
2006,The Law of Moses,"['The Law of Moses', 'The Song of David']",2,No
2007,Homecoming Saga,['Earthfall'],1,No
2008,Lady Emily,"['And Only to Deceive', 'A Crimson Warning']",2,No
2009,The Tales of Einarinn,"[""The Thief's Gamble""]",1,No
2010,The Bitterbynde,"['The Ill-Made Mute', 'The Battle of Evernight', 'The Lady of the Sorrows']",3,No
2011,Fated Saga,"['Awaken', 'Embrace']",2,Yes
2012,"Magic Tree House ""Merlin Missions""","['Christmas in Camelot', 'Haunted Castle on Hallows Eve', 'Summer of the Sea Serpent']",3,No
2013,Magic Tree House,"['Twister on Tuesday', 'Midnight on the Moon', 'Sunset of the Sabertooth', 'Tonight on the Titanic', 'Afternoon on the Amazon', 'Moonlight on the Magic Flute', 'Polar Bears Past Bedtime', 'Buffalo Before Breakfast', 'Dark Day in the Deep Sea', 'Hour of the Olympics', 'High Tide in Hawaii', 'Stage Fright on a Summer Night', 'Leprechaun in Late Winter', 'A Good Night for Ghosts', 'The Knight at Dawn', 'Dolphins at Daybreak', 'Earthquake in the Early Morning', 'Ghost Town at Sundown']",18,No
2014,Green Mountain,"['All You Need is Love', 'I Want to Hold Your Hand']",2,Yes
2015,Knight,"['Knight & Play', 'Knight & Day']",2,Yes
2016,Mither Mages,"['The Lost Gate', 'The Gate Thief']",2,Yes
2017,Crown's Spies,"['Castles', ""The Lion's Lady"", 'The Gift', 'Guardian Angel']",4,No
2018,Saga of the Light Isles,"['Foxmask', 'Wolfskin']",2,No
2019,Point 4,['Human.4'],1,No
2020,Alpha,"['Alpha', 'Omega']",2,No
2021,Bad,['Bad Magic'],1,Yes
2022,Masters of Menage,['Their Virgin Captive'],1,No
2023,Master of Crows,['Master of Crows'],1,Yes
2024,Doctor Who by Douglas Adams,['Doctor Who: Shada'],1,Yes
2025,Game,['The Egypt Game'],1,Yes
2026,Thirteen Hallows,['The Thirteen Hallows'],1,Yes
2027,Foreigner,"['Foreigner', 'Deceiver', 'Destroyer', 'Explorer', 'Precursor']",5,Yes
2028,Tomorrow Girls,"['Behind the Gates', 'Run for Cover']",2,Yes
2029,Nova,['Breaking Nova'],1,No
2030,A Class of Their Own,"['After a Fashion', 'Playing the Part', 'In Good Company']",3,No
2031,Appleseed,"['Appleseed, Vol. 1: The Promethean Challenge', 'Appleseed: Prometheus Unbound', 'Appleseed: The Scales of Prometheus']",3,Yes
2032,The Poisoner Mysteries,"['Poison', 'The Borgia Betrayal']",2,Yes
2033,Rats,"['Lair', 'Domain']",2,Yes
2034,Wyoming,"['Savage Thunder', 'Angel']",2,No
2035,Matthew Swift,"['A Madness of Angels', 'The Neon Court', 'The Midnight Mayor']",3,Yes
2036,Butler Cove,"['Eversea', 'Forever, Jack']",2,No
2037,The Defenders of Shannara,"[""The High Druid's Blade"", 'The Darkling Child']",2,Yes
2038,Ruan,"['Daughter of the Flames', 'FrostFire']",2,No
2039,Past Doctor Adventures,['Doctor Who: Festival of Death'],1,Yes
2040,Sherring Cross,"['Man of My Dreams', 'Love Me Forever']",2,Yes
2041,Kalix MacRinnalch,"['Lonely Werewolf Girl', 'The Anxiety of Kalix the Werewolf', 'The Curse of the Wolf Girl']",3,Yes
2042,Broken Heart,"[""I'm the Vampire, That's Why"", 'Over My Dead Body', 'Because Your Vampire Said So']",3,Yes
2043,Josephine Bonaparte,['The Many Lives & Secret Sorrows of Josephine B.'],1,Yes
2044,Callahan's,"[""Callahan's Crosstime Saloon""]",1,No
2045,French Revolution,['The Red Necklace'],1,No
2046,Veronica Speedwell,"['A Curious Beginning', 'A Perilous Undertaking', 'A Murderous Relation', 'A Dangerous Collaboration', 'A Treacherous Curse']",5,Yes
2047,The Talent,"['To Ride Pegasus', 'Pegasus in Space', 'Pegasus in Flight']",3,Yes
2048,Wind Dancer,['The Wind Dancer'],1,No
2049,Mindjack,['Open Minds'],1,Yes
2050,Warriors Of Poseidon,"['Atlantis Rising', 'Atlantis Redeemed', 'Atlantis Unleashed', 'Atlantis Awakening', 'Vampire in Atlantis', 'Atlantis Betrayed']",6,Yes
2051,Hell's Eight,"[""Sam's Creed""]",1,No
2052,Living With the Dead,['Married with Zombies'],1,Yes
2053,Night Creatures,['Burn Bright'],1,Yes
2054,Ile-Rien,"['The Death of the Necromancer', 'The Element of Fire']",2,Yes
2055,Succession,"['The Risen Empire', 'The Killing of Worlds']",2,No
2056,Valdemar: Mage Winds,"['Winds of Fate', 'Winds of Fury', 'Winds of Change']",3,Yes
2057,The Paranormals,['Jenny Pox'],1,Yes
2058,Guardians of Childhood,"['The Sandman: The Story of Sanderson Mansnoozie', 'Jack Frost', 'The Man in the Moon']",3,Yes
2059,Secrets of My Hollywood Life,"['Secrets of My Hollywood Life', 'Family Affairs', 'On Location', 'Broadway Lights']",4,Yes
2060,The 13th Reality,"['The Journal of Curious Letters', 'The Blade of Shattered Hope', 'The Hunt for Dark Infinity']",3,Yes
2061,Isle of Swords,['Isle of Swords'],1,Yes
2062,Magnificent Devices,['Lady of Devices'],1,Yes
2063,Valdemar: Vows and Honor,"['The Oathbound', 'Oathblood', 'Oathbreakers']",3,Yes
2064,Sea,['Sea'],1,No
2065,Blakewell/Kenleigh Family Trilogy,['Ride the Fire'],1,Yes
2066,The Wild Ones,['Becoming A Vincent'],1,Yes
2067,Bridal Stories,['The Bridal Season'],1,Yes
2068,Keeper,['The Keeper'],1,Yes
2069,The Descendants,['Betrayal'],1,Yes
2070,Iron Codex,['The Iron Thorn'],1,Yes
2071,Legends of Shannara,['The Measure of the Magic'],1,Yes
2072,Reid Family,"['The Heir', 'A Rogue of My Own']",2,No
2073,California Historical Series,"['Letter Perfect', 'Bittersweet']",2,Yes
2074,Clique Summer Collection,"['Dylan', 'Claire', 'Massie', 'Kristen']",4,Yes
2075,Texas! Tyler Family Saga,"['Texas! Lucky', 'Texas! Sage']",2,Yes
2076,Star Wars: Young Jedi Knights,"[""The Emperor's Plague"", 'Return to Ord Mantell', 'Crisis at Crystal Reef']",3,No
2077,Et si c'etait vrai,['If Only It Were True'],1,No
2078,Charlie Madigan,['The Better Part of Darkness'],1,No
2079,Tahn,['Tahn'],1,No
2080,The Melancholy of Haruhi Suzumiya,"['The Melancholy of Haruhi Suzumiya, Vol. 1', 'The Melancholy of Haruhi Suzumiya, Vol. 3', 'The Melancholy of Haruhi Suzumiya, Vol. 2']",3,Yes
2081,Wedding Planner's Daughter,"[""The Wedding Planner's Daughter"", 'From Willa, With Love', 'The Cupid Chronicles']",3,Yes
2082,The Soldier Son,"[""Shaman's Crossing"", ""Renegade's Magic"", 'Forest Mage']",3,No
2083,Sentinel Wars,"['Burning Alive', 'Finding the Lost', 'Running Scared']",3,No
2084,Valdemar (Publication order),['By the Sword'],1,No
2085,Vampire Beach,"['Bloodlust', 'Legacy', 'Ritual', 'Initiation']",4,No
2086,Kyndred,"['Shadowlight', 'Nightshine']",2,Yes
2087,Shadow Hills,['Shadow Hills'],1,No
2088,Johnny the Homicidal Maniac,['Johnny The Homicidal Maniac #1'],1,No
2089,Rosey Corner,['Angel Sister'],1,Yes
2090,Beautiful Dead,['Jonas'],1,Yes
2091,The Dying Earth,['The Dying Earth'],1,Yes
2092,MacNachton Vampires,"['Highland Thirst', 'The Eternal Highlander', 'My Immortal Highlander']",3,Yes
2093,Sense of Truth,['The Thirteenth Chime'],1,No
2094,Black London,"['Demon Bound', 'Bone Gods']",2,Yes
2095,Cygnet Duology,"['The Cygnet and the Firebird', 'The Sorceress and the Cygnet']",2,No
2096,Damaged,['Damaged'],1,No
2097,Chronicles of Barsetshire,"['Dr. Thorne', 'The Small House at Allington']",2,Yes
2098,The Bet,"['The Wager', 'The Bet']",2,No
2099,The Winnie Years,"['Twelve', 'Thirteen']",2,No
2100,Hush,"[""Hush: An Irish Princess' Tale""]",1,Yes
2101,The Company Wars,['Downbelow Station'],1,Yes
2102,Beautifully Broken,['If You Stay'],1,Yes
2103,Doctor Who: New Series Adventures,"['Doctor Who: Touched By An Angel', 'Doctor Who: The Glamour Chase', 'Doctor Who: Nuclear Time', 'Doctor Who: Dead of Winter', 'Doctor Who: Paradox Lost', 'Doctor Who: The Feast of the Drowned', 'Doctor Who: The Stone Rose', 'Doctor Who: Only Human', 'Doctor Who: Apollo 23']",9,No
2104,Skeleton Creek,"['The Raven', 'Skeleton Creek', 'The Crossbones', 'Ghost in the Machine']",4,Yes
2105,Vampires in America,['Rajmund'],1,Yes
2106,Against All Expectations,"['A Constant Heart', 'She Walks in Beauty']",2,No
2107,Gruffalo,['The Gruffalo'],1,No
